Date,Open,High,Low,Close,Volume
2025-04-20 10:00:00,334.01,334.57,331.6,333.57,11326.836
2025-04-20 11:00:00,333.56,334.33,332.91,333.0,7684.814
2025-04-20 12:00:00,333.0,334.74,332.55,334.39,7923.794
2025-04-20 13:00:00,334.38,335.44,333.88,334.24,8102.814
2025-04-20 14:00:00,334.24,335.33,333.96,334.06,6433.71
2025-04-20 15:00:00,334.05,334.29,331.19,331.87,9918.396
2025-04-20 16:00:00,331.87,333.58,331.35,332.84,9231.983
2025-04-20 17:00:00,332.84,333.96,332.65,333.74,3931.443
2025-04-20 18:00:00,333.73,335.98,333.4,334.96,6874.281
2025-04-20 19:00:00,334.96,336.56,334.73,336.48,4712.185
2025-04-20 20:00:00,336.47,337.75,335.03,335.82,10235.309
2025-04-20 21:00:00,335.81,336.63,334.82,336.63,3900.108
2025-04-20 22:00:00,336.63,336.87,335.31,336.08,6441.742
2025-04-20 23:00:00,336.08,336.77,335.22,335.95,5427.855
2025-04-21 00:00:00,335.95,341.5,335.66,340.09,28639.885
2025-04-21 01:00:00,340.09,341.48,338.68,339.31,13989.565
2025-04-21 02:00:00,339.31,341.66,335.15,336.94,34116.547
2025-04-21 03:00:00,336.94,340.6,336.73,339.58,16026.6
2025-04-21 04:00:00,339.57,340.34,337.55,339.12,9519.206
2025-04-21 05:00:00,339.12,340.4,338.07,339.0,8028.227
2025-04-21 06:00:00,338.99,339.82,337.29,338.05,9777.087
2025-04-21 07:00:00,338.05,343.8,337.83,340.51,24090.522
2025-04-21 08:00:00,340.49,343.19,340.46,342.05,10151.29
2025-04-21 09:00:00,342.05,343.1,339.14,342.07,11739.033
2025-04-21 10:00:00,342.07,342.52,340.13,341.31,6649.766
2025-04-21 11:00:00,341.32,341.41,338.2,339.75,8299.268
2025-04-21 12:00:00,339.73,340.56,337.98,338.29,7659.294
2025-04-21 13:00:00,338.27,340.18,336.07,336.23,24462.901
2025-04-21 14:00:00,336.19,345.73,335.53,344.46,49401.987
2025-04-21 15:00:00,344.45,346.02,343.7,344.49,12902.776
2025-04-21 16:00:00,344.46,346.18,342.18,343.0,16913.612
2025-04-21 17:00:00,343.0,344.66,341.01,342.94,20195.02
2025-04-21 18:00:00,342.96,347.38,342.56,345.1,14197.709
2025-04-21 19:00:00,345.09,348.1,344.4,345.94,12087.498
2025-04-21 20:00:00,345.91,346.1,343.23,344.26,9143.115
2025-04-21 21:00:00,344.28,344.37,342.0,343.45,5784.781
2025-04-21 22:00:00,343.45,344.36,342.56,344.03,5433.949
2025-04-21 23:00:00,344.02,345.41,343.66,344.88,11042.36
2025-04-22 00:00:00,344.89,345.57,337.09,340.75,23616.84
2025-04-22 01:00:00,340.74,346.14,340.02,344.64,14397.275
2025-04-22 02:00:00,344.61,345.6,343.2,345.38,8393.89
2025-04-22 03:00:00,345.38,346.55,344.13,345.02,9695.892
2025-04-22 04:00:00,345.01,346.05,343.22,343.42,5867.274
2025-04-22 05:00:00,343.44,345.81,343.07,345.73,6835.991
2025-04-22 06:00:00,345.73,347.58,337.5,338.27,59236.092
2025-04-22 07:00:00,338.26,350.9,336.53,348.49,94630.016
