Date,Open,High,Low,Close,Volume
2024-12-07 16:00:00,618.79,619.84,604.73,609.51,66453.708
2024-12-07 20:00:00,609.51,615.05,607.39,608.17,32042.095
2024-12-08 00:00:00,608.17,623.3,606.22,619.92,58296.904
2024-12-08 04:00:00,619.92,625.83,608.16,614.55,78364.935
2024-12-08 08:00:00,614.56,616.0,601.56,615.63,93341.058
2024-12-08 12:00:00,615.63,624.98,610.0,618.68,102452.468
2024-12-08 16:00:00,618.68,624.85,615.37,619.24,38264.12
2024-12-08 20:00:00,619.24,624.83,614.0,622.96,26889.525
2024-12-09 00:00:00,622.95,624.57,602.27,610.81,102422.534
2024-12-09 04:00:00,610.8,614.4,594.53,603.96,102790.873
2024-12-09 08:00:00,603.96,608.94,587.79,590.41,164999.025
2024-12-09 12:00:00,590.38,614.02,585.63,596.26,159183.884
2024-12-09 16:00:00,596.27,607.03,591.03,598.35,84445.769
2024-12-09 20:00:00,598.34,618.57,507.11,551.2,427048.522
2024-12-10 00:00:00,551.2,563.97,525.01,544.33,197351.436
2024-12-10 04:00:00,544.33,548.76,531.68,545.77,93169.021
2024-12-10 08:00:00,545.77,552.12,538.68,541.44,88723.17
2024-12-10 12:00:00,541.44,542.75,500.67,501.95,261245.175
2024-12-10 16:00:00,501.97,510.65,485.22,507.2,238738.433
2024-12-10 20:00:00,507.2,520.19,503.0,515.87,105918.289
2024-12-11 00:00:00,515.87,521.21,502.32,518.87,125394.307
2024-12-11 04:00:00,518.88,523.8,516.1,517.84,58357.695
2024-12-11 08:00:00,517.84,534.55,517.56,532.83,58730.623
2024-12-11 12:00:00,532.83,550.19,531.65,548.92,149557.316
2024-12-11 16:00:00,548.97,549.94,540.9,543.59,81426.706
2024-12-11 20:00:00,543.6,550.06,541.76,546.34,43921.273
2024-12-12 00:00:00,546.34,563.79,541.37,556.56,82733.558
2024-12-12 04:00:00,556.55,563.1,551.88,555.23,59182.88
2024-12-12 08:00:00,555.23,559.4,545.0,547.72,64555.669
2024-12-12 12:00:00,547.75,557.98,545.09,552.07,98239.601
2024-12-12 16:00:00,552.01,557.07,538.01,540.07,84365.504
2024-12-12 20:00:00,540.05,548.23,536.81,540.06,50538.192
